Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R011962,"Alexandeer, Jamie Grace",Freestate Justice,FreeState Justice,05/18/22-10/31/22
R000034,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/19-10/31/20
R005522,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/20-10/31/21
R013284,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/22-10/31/23
R009273,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/21-10/31/22
R012107,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Bellamy Genn Group, LLC",08/11/22-10/31/22
R006873,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"National Association for the Advancement of Colored People- Legal Defense & Educational Fund, Inc.",12/04/20-10/31/21
R006885,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,Everytown for Gun Safety Action Fund,12/08/20-10/31/21
R010817,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"National Association for the Advancement of Colored People- Legal Defense & Educational Fund, Inc.",11/08/21-10/31/22
R011688,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,Job Opportunities Task Force (JOTF),02/08/22-05/26/22
R010818,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,Everytown for Gun Safety Action Fund,11/08/21-10/31/22
